Activity Number,ISIC Code,License Type,Activity Name,Description
AM-02143,2220003,Industrial,Plastic Pipes Manufacturing,"Manufacturing all types of plastic pipes, for drainage, sewerage, electrical connections, agriculture and irrigation, hoses, also related fittings, such as connections, knobs, angles and other parts and accessories."
AM-02144,2394004,Industrial,Lime Manufacturing,Lime Manufacturing
AM-02146,2395010,Industrial,Chalk Manufacturing,Chalkboards of all kinds
AM-02149,2310001,Industrial,Glassware manufacturing,"manufacturing household and kitchen glass items used in cooking, serving and preserving food."
AM-02150,2395008,Industrial,Gypsum Products Manufacturing,"Manufacture gypsum products such as decoration supplies such as decorations, stereoscopic drawings, columns, architectural ornaments, panels used in cladding or as heat-insulating materials, as well as flower pots, ornamental plants, and others."
AM-02151,2310002,Industrial,Safety Glass Manufacturing,Safety Glass Manufacturing
AM-02153,2310004,Industrial,Wool Glass Manufacturing,"Manufacturing glass wool by the fusion of a mixture of sand and recycled glass, and is produced in rolls or in slabs fire resistant and thermal insulator to use in construction insulation and ducting."
AM-02154,2399006,Industrial,Non Metal False Ceiling Manufacturing,"Manufacture of suspended ceilings borrowed and made of non-metallic materials such as gypsum, reinforced fiberglass, cement-reinforced plastic or made of other similar materials."
AM-02156,2592008,Services,Pipelines Coating,"Cladding or lining of pipes transporting water, petroleum, sewage or other materials and submerged under the surface of the water or buried underground with waterproofing, moisture, anti-corrosion, rust or other protective materials."
AM-02158,2396001,Industrial,Artificial Marble Manufacturing,Manufacturing of Artificial Marble
AM-02160,2410901,Industrial,Steel Bars Manufacturing,"Manufacture iron bars used for reinforcing purposes in building and construction work or in other industries for the production of various metal products, and includes bars that are produced by the method of remelting ingots or waste and iron waste."
AM-02161,2420002,Industrial,Aluminum Smelter and Extraction,"Manufacture of pure aluminum metal from its raw materials such as bauxite or alumina, its smelting and production in the form of blocks, cylinders or alloys so that it can be remanufactured by drawing or rolling method to produce the raw materials necessary for the manufacture of aluminum products."
AM-02162,2420004,Industrial,Silver Extraction from Chemical Wastes,"Extracting silver from photographic films wastes, radiograph films, films processing chemicals or any other chemicals composing silver , then form in pieces or ingots for manufacturing dyes and paints."
AM-02163,2431004,Industrial,Steel Tubes Manufacturing,"Manufacture iron pipes used for construction purposes and laying pipelines for various purposes in the manner of cutting, forming and welding iron plates, as well as manufacturing supplies for their connection and installation."
AM-02164,2431001,Industrial,Casting Products Manufacturing,"Manufacture of castings of iron, steel or cast, and this includes the manufacture of various casting products such as sanitary ware and others."
AM-02165,2823003,Industrial,Ingot Manufactur ingingot moulds,"Manufacture molds from ferrous and metal alloys by smelting and casting, which are reused in factories and workshops in shaping various materials and manufacturing metal, plastic or pottery."
AM-02166,2592001,Industrial,Metal Products Coating,"Metal products coating with paints, powders, polishing and protective materials, or by un-precious metals, this can be carried out by using electric, chemical, or conventional coating methods."
AM-02167,2431003,Industrial,Steel Pipes Fittings Manufacturing,Manufacturing of Steel Pipes Fittings
AM-02168,2592003,Industrial,Structure Steel Coating and Treatment,Structure Steel Coating and Treatment
AM-02172,2593002,Industrial,Hand Tools Manufacturing,"Manufacturing of hand tools used in agriculture, landscaping, construction, carpentry, smithery, plumbery and auto workshops, among such tools are rasps, hammers, chisels, shovels and others."
AM-02173,2432003,Industrial,Weighing Materials Manufacturing,Manufacturing the traditional different size apparatus for weighing.
AM-02174,2593010,Industrial,Metal appliances (hardware) for buildings Manufacturing,Manufacturing of metal appliances (hardware) for buildings
AM-02175,3212001,Industrial,Manufacture of Medals and Legions,"Manufacture of medals, badges, decorations, necklaces, commemorative shields, etc. from different metals such as copper, bronze and other metals, using the method of casting in molds"
AM-02176,2593009,Industrial,Locks and Keys Manufacturing,"Manufacture locks, keys and hinges for doors, and they are used to seal closures and secure some safes and shops. The locks are easy mechanical equipment and their raw materials vary between iron, zinc alloys and copper of all types. Its use most of the time is attached to another part that is installed in the doors and places to be closed. The interior part is considered the (heart) into which the key is inserted is the main part that can be obtained through various designs for other uses, including computer locks, cash drawer locks, refrigerator locks, iron cupboard locks... This branch does not include copying keys and repairing locks."
AM-02177,2511002,Industrial,Structural Metal Parts Manufacturing,"Manufacture of metal parts made of steel for building and construction purposes, such as metal structures for buildings, bridges, tunnels, and metal towers constructed for the purposes of power transmission and telecommunications."
AM-02178,2593005,Industrial,Cutting and Shearing Tools manufacturing,Cutting and Shearing Tools manufacturing
AM-02179,2511003,Industrial,Steel Structures Manufacturing,"the manufacture of buildings and prefabricated constructions of steel, which are used for various purposes such as factory buildings, warehouses, hangars and other roofed spaces (hangars) and sheds (shabarat)"
AM-02180,2593006,Industrial,Sawing Discs and Cutting Blades Manufacturing,Sawing Discs and Cutting Blades Manufacturing
AM-02181,2511004,Industrial,Building Metal Products Manufacturing,"Manufacture of all types of metal works for buildings and shops such as the manufacture of showcases, barriers and metal fences for stairs, gardens and balconies, as well as the manufacture of decorations, metal interior design supplies, gates, upper water tanks, window protection nets, covers of sewage drainage complexes, wire and cable complexes, edges of stairs and other similar works, whether made of iron, aluminum, copper or other metals that are made by casting method or cutting panels and sections and fixing them again according to the shapes required."
AM-02182,2599129,Industrial,"Metal Spoons, Forks, and Tableware","Manufacturing knives and spoons used in cutting and cooking, also stainless steel and gold and silver plated cutlery, or purely precious metal brands."
AM-02183,2511009,Industrial,Sea Platforms and Rigs Manufacturing,Manufacturing offshore platforms and drilling towers
AM-02184,2599106,Industrial,Metal Utensils Manufacturing,"Manufacture of utensils used for domestic purposes of all kinds, including pots, trays and containers made of types of metals such as aluminum and stainless steel or covered with a non-stick layer for food during cooking."
AM-02185,2511010,Industrial,Scaffolds & Ladders Manufacturing,Manufacturing of Scaffolds & Ladders
AM-02186,2599401,Industrial,Screwing Tools Manufacturing,Manufacturing of Screwing Tools
AM-02187,2511011,Industrial,Central Air Conditioning Manufacturing,"Manufacturing central air-Conditioning systems ducts and fittings installment, as well as ventilation hole covers, ventilation grids, sound and vibration absorbers and other A/C installation requisites."
AM-02188,2599113,Industrial,Traffic Signs Manufacturing,Manufacturing of Traffic Signs
AM-02189,2511013,Industrial,Metal False Ceiling Manufacturing,Metal False Ceiling Manufacturing
AM-02190,2599101,Industrial,Metal Containers Manufacturing,Metal Containers Manufacturing
AM-02191,2824010,Industrial,Oil and Gas fields Equipment Manufacturing,"Industrial facilities that manufacture oil and natural gas equipment and tools, tools, tools and supplies used in drilling oil fields and exploration for natural gas"
